mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,mfcc_14,mfcc_15,mfcc_16,mfcc_17,mfcc_18,mfcc_19,mfcc_20,mfcc_21,mfcc_22,mfcc_23,mfcc_24,mfcc_25,mfcc_26,mfcc_27,mfcc_28,mfcc_29,mfcc_30,mfcc_31,mfcc_32,mfcc_33,mfcc_34,mfcc_35,mfcc_36,mfcc_37,mfcc_38,mfcc_39,mfcc_40,label
-113.619385,121.55302,-19.151056,42.345768,-6.3711677,18.613033,-13.69206,15.339378,-12.283618,10.973775,-8.32241,8.8067875,-3.665802,5.745939,-5.161711,0.7502978,-1.688358,-0.40932855,-2.298869,1.2199471,-3.5383887,-1.1400294,-4.289415,-4.2328043,0.9163248,0.9165485,-5.7633233,-3.930225,1.5080732,2.695646,5.6516275,-3.2703445,-0.20387094,-2.999194,4.4795647,-0.47173452,6.0087132,-0.058999438,-3.4628537,-1.8414087,blues
-207.58151,123.99715,8.939115,35.870758,2.9199703,21.518787,-8.555368,23.355938,-10.101038,11.906445,-5.5581226,5.375942,-2.2378325,4.217125,-6.0110474,0.93266803,-0.7170279,0.29233325,-0.28571686,0.5321443,-4.090439,-1.2404466,-2.842691,-4.3558865,3.2582967,1.2023574,-0.0337801,-0.059279013,3.9833682,-0.4506288,0.8427731,-3.7514126,-4.0992374,-2.455875,5.84026,3.5573013,4.8964677,-0.41341332,-1.9990163,-0.4694125,blues
-90.776344,140.44861,-29.10056,31.68734,-13.975973,25.741686,-13.644712,11.623112,-11.77592,9.700466,-13.115349,5.785763,-8.899733,-1.0870236,-9.216774,2.4536483,-7.721793,-1.8164971,-3.4343534,-2.2313912,-4.049148,-0.56996554,-2.0112383,-5.3869195,-5.123237,-7.8055515,-1.1680623,-0.20640011,1.3844019,-3.0061822,-1.3840289,-4.7452655,-0.37657395,0.49436033,0.4450079,-4.162732,-4.8087063,-6.69736,-4.424347,-0.9846288,blues
-199.462,150.09473,5.649167,26.870144,1.7554406,14.23688,-4.8288727,9.297849,-0.7531419,8.147393,-3.1952357,6.085354,-2.4761882,-1.0762246,-2.8760564,0.7769088,-3.3200555,0.63726276,-0.6175069,-3.40694,-1.5005991,-0.055320386,-1.8619184,-4.710597,-3.9226365,-6.653788,-2.9067204,-3.231801,-0.2720895,-3.8174036,-2.8221364,-4.210177,-2.7049646,-3.8450146,-2.526683,-4.9386477,-5.9521265,-6.6168156,-6.3983254,-1.5017639,blues
-160.29185,126.19576,-35.6025,22.151169,-32.48764,10.862022,-23.357162,0.500523,-11.80477,1.2038777,-13.085074,-2.8098488,-6.935621,-7.5592937,-9.172152,-4.5104084,-5.4537363,-0.92446774,-4.408076,-11.701833,-5.8597007,-0.71842885,0.95112574,-1.2276795,4.565906,0.2896269,-1.2837689,-4.488457,-0.40812594,0.27564165,8.477829,3.64165,-3.0047832,-6.107313,-6.9527907,-4.0751724,-1.1369299,-0.48463175,-4.7880306,-3.2193744,blues
-177.88876,118.18953,-17.55073,30.753101,-21.732107,11.898545,-20.73228,3.176169,-8.575771,-0.9401844,-11.773799,-2.426076,-9.342486,-9.947082,-3.9053469,-5.568541,-1.8399693,-2.7841752,-3.046112,-8.115229,-2.4678442,-1.7123966,-4.2795463,-4.6385307,-2.3284316,0.9241528,4.378612,5.194026,5.694819,2.529238,2.613597,-4.352427,-6.80911,-2.9116187,-1.0631214,1.9084798,1.0155054,-3.1086466,-5.304875,-5.263715,blues
-190.17505,130.29242,-36.348473,33.02909,11.085681,-0.5963724,-20.882357,0.277116,-6.5008707,-5.515623,-7.8452888,-3.123599,-6.595716,-9.947578,-6.540925,-10.07138,-10.912119,-6.970003,-3.4485128,-6.4984574,-7.1202984,-7.1363883,-5.2854896,-4.5902853,-3.238698,-2.8989837,1.4235084,2.9203234,2.11777,-1.4764496,-0.63446116,2.9592261,2.607564,1.79932,-1.9789025,-5.175631,-2.3760102,0.14222993,3.7087803,5.2592106,blues
-179.42007,136.4421,-26.644339,39.97959,5.3018136,10.921237,-20.555347,8.507477,-11.35436,-3.4690983,-8.414114,-6.956977,-3.5483484,-8.051683,-8.9604845,-8.421077,-10.5585985,-10.790192,-4.7007947,-8.638816,-11.0275755,-10.391632,-1.8577003,-1.4492543,-3.1238863,-1.183795,-3.6141505,-3.2580407,-0.6348768,0.894724,4.01671,2.700859,-0.17025478,-2.5200896,-3.4514685,-2.884889,0.73135763,-1.9445958,-4.8657465,-3.2380965,blues
-121.387115,122.505394,-14.739394,46.135292,-8.160384,20.17051,-19.169321,23.050188,-11.825939,21.173412,-6.7202907,7.0050187,-12.739909,5.064209,-5.173075,-1.446995,-7.0369287,2.6948745,3.4093323,-2.6991909,-4.270567,-0.6270918,-4.287083,-13.374432,-8.27833,-2.0942795,10.5590105,2.9193022,-1.0299448,-0.7499113,-0.50079226,-1.404135,-1.8816167,-1.810887,2.3648856,-4.3034086,-3.8789637,-5.0984454,0.49160275,1.1653894,blues
-213.20453,115.15454,-11.720503,39.032555,-20.357819,13.089926,-9.180816,9.023638,-14.101023,4.283337,-6.0441957,3.786368,0.22368747,-5.114481,-0.4145369,-1.1848985,-1.9183391,-2.2957962,2.89123,-4.234533,1.5900459,2.461061,-0.9093403,1.8585109,5.0403576,0.7727143,5.6455097,0.44147408,-0.91098535,-2.213618,-1.8996389,-3.4583857,-0.96608573,1.5506593,3.1903374,4.5528107,1.9053441,-0.680779,-2.7371292,-0.059521183,blues
